Date,Permit,Dir,Volume,Avg Speed,Occupancy %,Record Count,Full Name,Device ID,Created,Retired
2019-08-01 08:30:00-04,ND0080,N,375,49.89,14.29%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 08:35:00-04,ND0080,N,377,49.37,14.34%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 08:40:00-04,ND0080,N,390,52.13,14.04%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 08:45:00-04,ND0080,N,376,50.76,14.54%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 08:50:00-04,ND0080,N,365,52.99,13.07%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 08:55:00-04,ND0080,N,359,53.50,13.11%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 09:00:00-04,ND0080,N,355,49.32,15.93%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 09:05:00-04,ND0080,N,368,52.52,13.35%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 09:10:00-04,ND0080,N,335,54.76,11.52%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 09:15:00-04,ND0080,N,297,57.91,9.59%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 09:20:00-04,ND0080,N,296,56.19,9.80%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 09:25:00-04,ND0080,N,295,55.18,10.81%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 09:30:00-04,ND0080,N,260,57.90,8.28%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 09:35:00-04,ND0080,N,261,57.79,8.67%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 09:40:00-04,ND0080,N,272,55.75,9.38%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 09:45:00-04,ND0080,N,255,59.26,8.13%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 09:50:00-04,ND0080,N,236,57.82,8.05%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 09:55:00-04,ND0080,N,287,58.70,9.17%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 10:00:00-04,ND0080,N,231,59.45,7.52%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 10:05:00-04,ND0080,N,213,58.37,6.84%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 10:10:00-04,ND0080,N,235,58.32,7.78%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 10:15:00-04,ND0080,N,205,58.43,6.90%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 10:20:00-04,ND0080,N,209,60.49,6.54%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 10:25:00-04,ND0080,N,225,58.12,7.47%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 10:30:00-04,ND0080,N,194,58.82,6.49%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
2019-08-01 10:35:00-04,ND0080,N,224,59.02,7.15%,3,ND0080 - I95 AT 6TH STREET,8948.1,2015-05-18 13:04:18-04,2021-02-22 06:03:21-05
